Content ID,Week,Day,Platform,Franchise,Audience,Funnel stage,Format,Working title,Hook,Core message,Script ID,Shot-list ID,CTA,Required project,Required asset,Permission required,Claim verification required,Repurposing destinations,GBP use,SEO support,Paid-social potential,Owner or crew involvement,Production difficulty,Business priority,Status,Performance metric
CAL-044,7,Day 44 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 7 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-044,SL-08,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
CAL-045,7,Day 45 (Wed),Instagram Stories,Floor ASMR,Homeowners/local,Consideration,3-frame Q&A/process derivative,Floor ASMR: Week 7 Wed,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-045,SL-09,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Low,Support,Draft—not approved,Replies + estimate-path taps
CAL-046,7,Day 46 (Thu),LinkedIn,Contractor Field Notes,Contractors/commercial,Consideration,B2B field note,Contractor Field Notes: Week 7 Thu,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-046,SL-10,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Qualified inquiries + saves
CAL-047,7,Day 47 (Fri),Instagram + Facebook,Finish Friday,Homeowners/local,Decision,Matched reveal Reel + carousel,Finish Friday: Week 7 Fri,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-047,SL-11,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Saves/shares + qualified leads
CAL-048,7,Day 48 (Sat),Google Business Profile,Floor Rescue,Homeowners/local,Decision,Locally useful project derivative,Floor Rescue: Week 7 Sat,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-048,SL-12,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Primary,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,High,Support,Hold—live rules/approval,GBP actions + qualified leads
CAL-049,7,Day 49 (Sun),Community / no post,The NOLA Floor Report,Homeowners/local,Operations,Response and performance review,The NOLA Floor Report: Week 7 Sun,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-049,SL-01,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Content/analytics owner,Low,Support,Planned—internal,Response coverage + business outcome reconciliation
CAL-050,8,Day 50 (Mon),Production / no post,Floor Rescue,Homeowners/local,Decision,Batch brief and capture,Floor Rescue: Week 8 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-050,SL-02,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,High,Support,Planned—internal,Cleared assets captured
CAL-051,8,Day 51 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 8 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-051,SL-03,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
CAL-052,8,Day 52 (Wed),Instagram Stories,Floor ASMR,Homeowners/local,Consideration,3-frame Q&A/process derivative,Floor ASMR: Week 8 Wed,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-052,SL-04,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Low,Support,Draft—not approved,Replies + estimate-path taps
CAL-053,8,Day 53 (Thu),Instagram + Facebook,What Would This Cost?,Homeowners/local,Consideration,Educational carousel,What Would This Cost?: Week 8 Thu,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-053,SL-05,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Qualified inquiries + saves
CAL-054,8,Day 54 (Fri),Instagram + Facebook,Finish Friday,Homeowners/local,Decision,Matched reveal Reel + carousel,Finish Friday: Week 8 Fri,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-054,SL-06,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Saves/shares + qualified leads
CAL-055,8,Day 55 (Sat),Production / no post,The NOLA Floor Report,Homeowners/local,Consideration,Edit/archive/permission cleanup,The NOLA Floor Report: Week 8 Sat,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-055,SL-07,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Approval/metadata completion
CAL-056,8,Day 56 (Sun),Community / no post,The NOLA Floor Report,Homeowners/local,Operations,Response and performance review,The NOLA Floor Report: Week 8 Sun,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-056,SL-08,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Content/analytics owner,Low,Support,Planned—internal,Response coverage + business outcome reconciliation
CAL-057,9,Day 57 (Mon),Production / no post,Floor Guy Reactions,Homeowners/local,Operations,Batch brief and capture,Floor Guy Reactions: Week 9 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-057,SL-09,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Cleared assets captured
CAL-058,9,Day 58 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 9 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-058,SL-10,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
CAL-059,9,Day 59 (Wed),Instagram Stories,Floor ASMR,Homeowners/local,Consideration,3-frame Q&A/process derivative,Floor ASMR: Week 9 Wed,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-059,SL-11,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Low,Support,Draft—not approved,Replies + estimate-path taps
CAL-060,9,Day 60 (Thu),LinkedIn,Contractor Field Notes,Contractors/commercial,Consideration,B2B field note,Contractor Field Notes: Week 9 Thu,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-060,SL-12,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Qualified inquiries + saves
CAL-061,9,Day 61 (Fri),Instagram + Facebook,Finish Friday,Homeowners/local,Decision,Matched reveal Reel + carousel,Finish Friday: Week 9 Fri,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-061,SL-01,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Saves/shares + qualified leads
CAL-062,9,Day 62 (Sat),Google Business Profile,Floor Rescue,Homeowners/local,Decision,Locally useful project derivative,Floor Rescue: Week 9 Sat,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-062,SL-02,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Primary,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,High,Support,Hold—live rules/approval,GBP actions + qualified leads
CAL-063,9,Day 63 (Sun),Community / no post,The NOLA Floor Report,Homeowners/local,Operations,Response and performance review,The NOLA Floor Report: Week 9 Sun,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-063,SL-03,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Content/analytics owner,Low,Support,Planned—internal,Response coverage + business outcome reconciliation
CAL-064,10,Day 64 (Mon),Production / no post,New Orleans Floor History,Homeowners/local,Operations,Batch brief and capture,New Orleans Floor History: Week 10 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-064,SL-04,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Cleared assets captured
CAL-065,10,Day 65 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 10 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-065,SL-05,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
CAL-066,10,Day 66 (Wed),Instagram Stories,Floor ASMR,Homeowners/local,Consideration,3-frame Q&A/process derivative,Floor ASMR: Week 10 Wed,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-066,SL-06,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Low,Support,Draft—not approved,Replies + estimate-path taps
CAL-067,10,Day 67 (Thu),Instagram + Facebook,What Would This Cost?,Homeowners/local,Consideration,Educational carousel,What Would This Cost?: Week 10 Thu,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-001,SL-07,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Qualified inquiries + saves
CAL-068,10,Day 68 (Fri),Instagram + Facebook,Finish Friday,Homeowners/local,Decision,Matched reveal Reel + carousel,Finish Friday: Week 10 Fri,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-002,SL-08,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Saves/shares + qualified leads
CAL-069,10,Day 69 (Sat),Production / no post,The NOLA Floor Report,Homeowners/local,Consideration,Edit/archive/permission cleanup,The NOLA Floor Report: Week 10 Sat,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-003,SL-09,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Approval/metadata completion
CAL-070,10,Day 70 (Sun),Community / no post,The NOLA Floor Report,Homeowners/local,Operations,Response and performance review,The NOLA Floor Report: Week 10 Sun,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-004,SL-10,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Content/analytics owner,Low,Support,Planned—internal,Response coverage + business outcome reconciliation
CAL-071,11,Day 71 (Mon),Production / no post,The Floor Guys Contractors Call,Homeowners/local,Operations,Batch brief and capture,The Floor Guys Contractors Call: Week 11 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-005,SL-11,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Cleared assets captured
CAL-072,11,Day 72 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 11 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-006,SL-12,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
CAL-073,11,Day 73 (Wed),Instagram Stories,Floor ASMR,Homeowners/local,Consideration,3-frame Q&A/process derivative,Floor ASMR: Week 11 Wed,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-007,SL-01,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Low,Support,Draft—not approved,Replies + estimate-path taps
CAL-074,11,Day 74 (Thu),LinkedIn,Contractor Field Notes,Contractors/commercial,Consideration,B2B field note,Contractor Field Notes: Week 11 Thu,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-008,SL-02,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Qualified inquiries + saves
CAL-075,11,Day 75 (Fri),Instagram + Facebook,Finish Friday,Homeowners/local,Decision,Matched reveal Reel + carousel,Finish Friday: Week 11 Fri,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-009,SL-03,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Saves/shares + qualified leads
CAL-076,11,Day 76 (Sat),Google Business Profile,Floor Rescue,Homeowners/local,Decision,Locally useful project derivative,Floor Rescue: Week 11 Sat,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-010,SL-04,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Primary,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,High,Support,Hold—live rules/approval,GBP actions + qualified leads
CAL-077,11,Day 77 (Sun),Community / no post,The NOLA Floor Report,Homeowners/local,Operations,Response and performance review,The NOLA Floor Report: Week 11 Sun,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-011,SL-05,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Content/analytics owner,Low,Support,Planned—internal,Response coverage + business outcome reconciliation
CAL-078,12,Day 78 (Mon),Production / no post,Finish Friday,Homeowners/local,Decision,Batch brief and capture,Finish Friday: Week 12 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-012,SL-06,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Cleared assets captured
CAL-079,12,Day 79 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 12 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-013,SL-07,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
CAL-080,12,Day 80 (Wed),Instagram Stories,Floor ASMR,Homeowners/local,Consideration,3-frame Q&A/process derivative,Floor ASMR: Week 12 Wed,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-014,SL-08,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Low,Support,Draft—not approved,Replies + estimate-path taps
CAL-081,12,Day 81 (Thu),Instagram + Facebook,What Would This Cost?,Homeowners/local,Consideration,Educational carousel,What Would This Cost?: Week 12 Thu,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-015,SL-09,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Qualified inquiries + saves
CAL-082,12,Day 82 (Fri),Instagram + Facebook,Finish Friday,Homeowners/local,Decision,Matched reveal Reel + carousel,Finish Friday: Week 12 Fri,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-016,SL-10,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Saves/shares + qualified leads
CAL-083,12,Day 83 (Sat),Production / no post,The NOLA Floor Report,Homeowners/local,Consideration,Edit/archive/permission cleanup,The NOLA Floor Report: Week 12 Sat,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-017,SL-11,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Approval/metadata completion
CAL-084,12,Day 84 (Sun),Community / no post,The NOLA Floor Report,Homeowners/local,Operations,Response and performance review,The NOLA Floor Report: Week 12 Sun,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-018,SL-12,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Content/analytics owner,Low,Support,Planned—internal,Response coverage + business outcome reconciliation
CAL-085,13,Day 85 (Mon),Production / no post,The Floor Guys Explain,Homeowners/local,Operations,Batch brief and capture,The Floor Guys Explain: Week 13 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-019,SL-01,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Cleared assets captured
CAL-086,13,Day 86 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 13 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-020,SL-02,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
